x;y;h;uh;xnew
0.003226861;0.00053781;0.057523282;0.00019;0.003226861
0.003353844;0.001889805;0.056171287;0.00019;0.003353844
0.003473357;0.003055061;0.055006031;0.00019;0.003473357
0.003622749;0.004250195;0.053810897;0.00019;0.003622749
0.003742263;0.005505085;0.052556007;0.00019;0.003742263
0.003891654;0.00684961;0.051211482;0.00019;0.003891654
0.004041046;0.008194136;0.049866956;0.00019;0.004041046
0.004220316;0.009628296;0.048432796;0.00019;0.004220316
0.004429465;0.011092335;0.046968757;0.00019;0.004429465
0.004608735;0.012466739;0.045594353;0.00019;0.004608735
0.004788004;0.013960656;0.044100436;0.00019;0.004788004
0.004907518;0.014744963;0.043316129;0.00019;0.004907518
0.005041971;0.015529269;0.042531823;0.00019;0.005041971
0.005131606;0.016358393;0.041702699;0.00019;0.005131606
0.005221241;0.017075474;0.040985618;0.00019;0.005221241
0.005310876;0.018016641;0.040044451;0.00019;0.005310876
0.005490146;0.018868174;0.039192918;0.00019;0.005490146
0.005624598;0.019809342;0.03825175;0.00019;0.005624598
0.005759051;0.020593649;0.037467443;0.00019;0.005759051
0.005893503;0.021355546;0.036705546;0.00019;0.005893503
0.006050365;0.022050218;0.036010874;0.00019;0.006050365
0.006117591;0.022655254;0.035405838;0.00019;0.006117591
0.006296861;0.023394743;0.034666349;0.00019;0.006296861
0.006476131;0.024380729;0.033680363;0.00019;0.006476131
0.00667781;0.025030583;0.033030509;0.00019;0.00667781
0.00685708;0.025680437;0.032380655;0.00019;0.00685708
0.007125985;0.026621605;0.031439487;0.00019;0.007125985
0.007327664;0.027450729;0.030610363;0.00019;0.007327664
0.007551751;0.028235035;0.029826057;0.00019;0.007551751
0.007731022;0.02904175;0.029019342;0.00019;0.007731022
0.007955109;0.029781239;0.028279853;0.00019;0.007955109
0.008268832;0.030520728;0.027540364;0.00019;0.008268832
0.00847798;0.031125765;0.026935327;0.00019;0.00847798
0.008612432;0.031618758;0.026442334;0.00019;0.008612432
0.008821582;0.032096812;0.02596428;0.00019;0.008821582
0.009045668;0.03264956;0.025411532;0.00019;0.009045668
0.009299635;0.033247126;0.024813966;0.00019;0.009299635
0.009553601;0.033904451;0.024156641;0.00019;0.009553601
0.009822506;0.034442261;0.023618831;0.00019;0.009822506
0.010181046;0.035189221;0.022871871;0.00019;0.010181046
0.01064416;0.035980995;0.022080097;0.00019;0.01064416
0.011017639;0.036638319;0.021422773;0.00019;0.011017639
0.011406058;0.037265765;0.020795327;0.00019;0.011406058
0.011794477;0.037982845;0.020078247;0.00019;0.011794477
0.012167956;0.038565473;0.019495619;0.00019;0.012167956
0.012601193;0.03917798;0.018883112;0.00019;0.012601193
0.013079244;0.039790484;0.018270608;0.00019;0.013079244
0.013467664;0.040373111;0.017687981;0.00019;0.013467664
0.013751507;0.040701775;0.017359317;0.00019;0.013751507
0.014005474;0.041075253;0.016985839;0.00019;0.014005474
0.014349076;0.041388976;0.016672116;0.00019;0.014349076
0.014737494;0.041807272;0.01625382;0.00019;0.014737494
0.015096034;0.042270388;0.015790704;0.00019;0.015096034
0.015574087;0.04274844;0.015312652;0.00019;0.015574087
0.015992384;0.043226494;0.014834598;0.00019;0.015992384
0.016709464;0.043883819;0.014177273;0.00019;0.016709464
0.017232335;0.044376811;0.013684281;0.00019;0.017232335
0.017753339;0.044767096;0.013293996;0.00019;0.017753339
0.018145492;0.045075217;0.012985875;0.00019;0.018145492
0.018436806;0.0452881;0.012772992;0.00019;0.018436806
0.018789744;0.045551403;0.012509689;0.00019;0.018789744
0.019120273;0.045831512;0.01222958;0.00019;0.019120273
0.019518028;0.04610602;0.011955072;0.00019;0.019518028
0.019887773;0.046374925;0.011686167;0.00019;0.019887773
0.020257517;0.046621421;0.011439671;0.00019;0.020257517
0.020604853;0.046890326;0.011170766;0.00019;0.020604853
0.021277116;0.047215253;0.010845839;0.00019;0.021277116
0.021725291;0.047461749;0.010599343;0.00019;0.021725291
0.022363941;0.047786676;0.010274416;0.00019;0.022363941
0.022901751;0.048055582;0.01000551;0.00019;0.022901751
0.023574013;0.04843653;0.009624562;0.00019;0.023574013
0.024190254;0.048727844;0.009333248;0.00019;0.024190254
0.025030583;0.049176019;0.008885073;0.00019;0.025030583
0.025590802;0.049456129;0.008604963;0.00019;0.025590802
0.026315352;0.049799728;0.008261364;0.00019;0.026315352
0.027032433;0.050098515;0.007962577;0.00019;0.027032433
0.028018418;0.050516808;0.007544284;0.00019;0.028018418
0.029123915;0.050875348;0.007185744;0.00019;0.029123915
0.03031905;0.051278706;0.006782386;0.00019;0.03031905
0.031170582;0.051547611;0.006513481;0.00019;0.031170582
0.032246203;0.051816516;0.006244576;0.00019;0.032246203
0.033187371;0.052175056;0.005886036;0.00019;0.033187371
0.034322747;0.052429026;0.00563206600000001;0.00019;0.034322747
0.035159341;0.052653114;0.005407978;0.00019;0.035159341
0.036055692;0.052907078;0.005154014;0.00019;0.036055692
0.036772772;0.053056471;0.005004621;0.00019;0.036772772
0.037669122;0.0532208;0.004840292;0.00019;0.037669122
0.038505717;0.053415011;0.004646081;0.00019;0.038505717
0.039431944;0.053564399;0.004496693;0.00019;0.039431944
0.040134086;0.053728734;0.004332358;0.00019;0.040134086
0.040955739;0.053848246;0.004212846;0.00019;0.040955739
0.041807272;0.054057392;0.0040037;0.00019;0.041807272
0.042628928;0.054176909;0.003884183;0.00019;0.042628928
0.043674669;0.054341238;0.003719854;0.00019;0.043674669
0.044585958;0.054550385;0.003510707;0.00019;0.044585958
0.045411348;0.054666165;0.003394927;0.00019;0.045411348
0.046341312;0.054789413;0.003271679;0.00019;0.046341312
0.047271275;0.05493507;0.003126022;0.00019;0.047271275
0.048212443;0.055047114;0.003013978;0.00019;0.048212443
0.049119998;0.055192771;0.002868321;0.00019;0.049119998
0.050195618;0.055316019;0.002745073;0.00019;0.050195618
0.051293647;0.055551311;0.002509781;0.00019;0.051293647
0.052548538;0.055685764;0.002375328;0.00019;0.052548538
0.054206786;0.055820216;0.002240876;0.00019;0.054206786
0.055551311;0.055999486;0.002061606;0.00019;0.055551311
0.057433647;0.056133939;0.001927153;0.00019;0.057433647
0.059271165;0.056358026;0.001703066;0.00019;0.059271165
0.060974231;0.056447661;0.001613431;0.00019;0.060974231
0.063349559;0.056851019;0.001210073;0.00019;0.063349559
0.06532153;0.056940654;0.001120438;0.00019;0.06532153
0.066770631;0.05704523;0.001015862;0.00019;0.066770631
0.068443815;0.057104983;0.000956109000000004;0.00019;0.068443815
0.069997492;0.0572245;0.000836592000000004;0.00019;0.069997492
0.071491406;0.057104983;0.000956109000000004;0.00019;0.071491406
0.073224353;0.057344012;0.000717080000000002;0.00019;0.073224353
0.074658514;0.057523282;0.00053781;0.00019;0.074658514
0.076510968;0.05758304;0.000478052;0.00019;0.076510968
0.077765858;0.057702552;0.000358540000000004;0.00019;0.077765858
0.078960996;0.05776231;0.000298782000000004;0.00019;0.078960996
0.080395156;0.05776231;0.000298782000000004;0.00019;0.080395156
0.08188907;0.057822063;0.000239029000000002;0.00019;0.08188907
0.083562259;0.05794158;0.000119512000000002;0.00019;0.083562259
0.085115931;0.058061092;0;0.00019;0.085115931
