 ,Area,Mean,Min,Max,X,Y
1,0,79,79,79,70.000,244.000
2,0,67,67,67,74.167,292.833
3,0,75,75,75,83.500,339.500
4,0,60,60,60,91.500,392.833
5,0,67,67,67,107.500,442.167
6,0,59,59,59,119.500,486.167
7,0,54,54,54,136.833,530.167
8,0,78,78,78,159.500,575.500
9,0,86,86,86,187.500,620.833
10,0,105,105,105,208.833,652.833
11,0,91,91,91,230.500,680.500
12,0,110,110,110,253.500,708.500
13,0,92,92,92,279.500,734.500
14,0,48,48,48,305.500,754.500
15,0,92,92,92,334.500,778.500
16,0,144,144,144,358.500,797.500
17,0,142,142,142,383.500,812.500
18,0,178,178,178,407.500,826.500
19,0,176,176,176,433.500,838.500
20,0,167,167,167,459.500,849.500
21,0,166,166,166,487.500,861.500
22,0,179,179,179,515.500,870.500
23,0,172,172,172,543.500,878.500
24,0,187,187,187,567.500,887.500
25,0,172,172,172,592.500,894.500
26,0,187,187,187,617.500,901.500
27,0,186,186,186,650.500,910.500
28,0,142,142,142,680.500,914.500
29,0,171,171,171,715.500,922.500
30,0,176,176,176,756.500,930.500
31,0,186,186,186,786.833,936.833
32,0,185,185,185,809.500,941.500
33,0,184,184,184,837.500,946.500
34,0,190,190,190,871.500,949.500
35,0,181,181,181,900.500,955.500
36,0,184,184,184,930.500,959.500
37,0,194,194,194,965.500,961.500
38,0,197,197,197,997.500,965.500
39,0,199,199,199,1043.500,969.500
40,0,183,183,183,1089.500,973.500
41,0,193,193,193,1113.500,977.500
42,0,194,194,194,1155.500,981.500
43,0,179,179,179,1215.500,987.500
44,0,191,191,191,1285.500,988.500
45,0,189,189,189,1359.500,995.500
46,0,187,187,187,1400.500,992.500
47,0,191,191,191,1439.500,994.500
48,0,177,177,177,1494.500,993.500
49,0,176,176,176,1533.500,993.500
